Material,Type,Shape,Coat/Functional Group,Synthesis_Method,Surface_Charge,Cell_Type,Cell_Tissue,Cell_Morphology,Cell_Age,Cell Line_Primary Cell,Test,Test_Indicator,Concentration (ug/ml),No_of_Cells (cells/well),Time (hr),Cell_Viability (%)
Bi,I,Sphere,None,Precipitation,,HeLa,Cervix,Epithelial,Adult,L,Live/Dead,CalceinAM,,20000,24,97.16
Bi,I,Sphere,None,Precipitation,,HeLa,Cervix,Epithelial,Adult,L,Live/Dead,CalceinAM,,20000,24,86.296
Bi,I,Sphere,None,Precipitation,,HeLa,Cervix,Epithelial,Adult,L,Live/Dead,CalceinAM,,20000,24,55.802
Bi,I,Sphere,None,Precipitation,,MG-63,Bone,Fibroblast,Adult,L,Live/Dead,CalceinAM,,20000,24,99.256
Bi,I,Sphere,None,Precipitation,,MG-63,Bone,Fibroblast,Adult,L,Live/Dead,CalceinAM,,20000,24,87.593
Bi,I,Sphere,None,Precipitation,,MG-63,Bone,Fibroblast,Adult,L,Live/Dead,CalceinAM,,20000,24,71.712
Bi,I,Sphere,None,Precipitation,,HeLa,Cervix,Epithelial,Adult,L,MTT,TetrazoliumSalt,,20000,24,95.11
Bi,I,Sphere,None,Precipitation,,HeLa,Cervix,Epithelial,Adult,L,MTT,TetrazoliumSalt,,20000,24,87.164
Bi,I,Sphere,None,Precipitation,,HeLa,Cervix,Epithelial,Adult,L,MTT,TetrazoliumSalt,,20000,24,54.156
Bi,I,Sphere,None,Precipitation,,MG-63,Bone,Fibroblast,Adult,L,MTT,TetrazoliumSalt,,20000,24,96.429
Bi,I,Sphere,None,Precipitation,,MG-63,Bone,Fibroblast,Adult,L,MTT,TetrazoliumSalt,,20000,24,92.989
Bi,I,Sphere,None,Precipitation,,MG-63,Bone,Fibroblast,Adult,L,MTT,TetrazoliumSalt,,20000,24,67.857
Bi,I,Sphere,NH2,Precipitation,,HeLa,Cervix,Epithelial,Adult,L,Live/Dead,CalceinAM,,20000,24,99.383
Bi,I,Sphere,NH2,Precipitation,,HeLa,Cervix,Epithelial,Adult,L,Live/Dead,CalceinAM,,20000,24,70
Bi,I,Sphere,NH2,Precipitation,,HeLa,Cervix,Epithelial,Adult,L,Live/Dead,CalceinAM,,20000,24,48.642
Bi,I,Sphere,NH2,Precipitation,,MG-63,Bone,Fibroblast,Adult,L,Live/Dead,CalceinAM,,20000,24,99.256
Bi,I,Sphere,NH2,Precipitation,,MG-63,Bone,Fibroblast,Adult,L,Live/Dead,CalceinAM,,20000,24,82.878
Bi,I,Sphere,NH2,Precipitation,,MG-63,Bone,Fibroblast,Adult,L,Live/Dead,CalceinAM,,20000,24,77.916
Bi,I,Sphere,NH2,Precipitation,,HeLa,Cervix,Epithelial,Adult,L,MTT,TetrazoliumSalt,,20000,24,93.521
Bi,I,Sphere,NH2,Precipitation,,HeLa,Cervix,Epithelial,Adult,L,MTT,TetrazoliumSalt,,20000,24,78.24
Bi,I,Sphere,NH2,Precipitation,,HeLa,Cervix,Epithelial,Adult,L,MTT,TetrazoliumSalt,,20000,24,48.533
Bi,I,Sphere,NH2,Precipitation,,MG-63,Bone,Fibroblast,Adult,L,MTT,TetrazoliumSalt,,20000,24,93.651
Bi,I,Sphere,NH2,Precipitation,,MG-63,Bone,Fibroblast,Adult,L,MTT,TetrazoliumSalt,,20000,24,83.73
Bi,I,Sphere,NH2,Precipitation,,MG-63,Bone,Fibroblast,Adult,L,MTT,TetrazoliumSalt,,20000,24,71.825
Bi,I,Sphere,Silica,Precipitation,,HeLa,Cervix,Epithelial,Adult,L,Live/Dead,CalceinAM,,20000,24,99.383
Bi,I,Sphere,Silica,Precipitation,,HeLa,Cervix,Epithelial,Adult,L,Live/Dead,CalceinAM,,20000,24,83.951
Bi,I,Sphere,Silica,Precipitation,,HeLa,Cervix,Epithelial,Adult,L,Live/Dead,CalceinAM,,20000,24,59.506
Bi,I,Sphere,Silica,Precipitation,,MG-63,Bone,Fibroblast,Adult,L,Live/Dead,CalceinAM,,20000,24,98.511
Bi,I,Sphere,Silica,Precipitation,,MG-63,Bone,Fibroblast,Adult,L,Live/Dead,CalceinAM,,20000,24,94.169
Bi,I,Sphere,Silica,Precipitation,,MG-63,Bone,Fibroblast,Adult,L,Live/Dead,CalceinAM,,20000,24,77.171
Bi,I,Sphere,Silica,Precipitation,,HeLa,Cervix,Epithelial,Adult,L,MTT,TetrazoliumSalt,,20000,24,99.389
Bi,I,Sphere,Silica,Precipitation,,HeLa,Cervix,Epithelial,Adult,L,MTT,TetrazoliumSalt,,20000,24,92.176
Bi,I,Sphere,Silica,Precipitation,,HeLa,Cervix,Epithelial,Adult,L,MTT,TetrazoliumSalt,,20000,24,63.692
Bi,I,Sphere,Silica,Precipitation,,MG-63,Bone,Fibroblast,Adult,L,MTT,TetrazoliumSalt,,20000,24,98.28
Bi,I,Sphere,Silica,Precipitation,,MG-63,Bone,Fibroblast,Adult,L,MTT,TetrazoliumSalt,,20000,24,93.519
Bi,I,Sphere,Silica,Precipitation,,MG-63,Bone,Fibroblast,Adult,L,MTT,TetrazoliumSalt,,20000,24,75.529
Bi,I,Sphere,PEG,Precipitation,,HeLa,Cervix,Epithelial,Adult,L,Live/Dead,CalceinAM,,20000,24,98.395
Bi,I,Sphere,PEG,Precipitation,,HeLa,Cervix,Epithelial,Adult,L,Live/Dead,CalceinAM,,20000,24,87.778
Bi,I,Sphere,PEG,Precipitation,,HeLa,Cervix,Epithelial,Adult,L,Live/Dead,CalceinAM,,20000,24,66.667
Bi,I,Sphere,PEG,Precipitation,,MG-63,Bone,Fibroblast,Adult,L,Live/Dead,CalceinAM,,20000,24,98.387
Bi,I,Sphere,PEG,Precipitation,,MG-63,Bone,Fibroblast,Adult,L,Live/Dead,CalceinAM,,20000,24,91.935
Bi,I,Sphere,PEG,Precipitation,,MG-63,Bone,Fibroblast,Adult,L,Live/Dead,CalceinAM,,20000,24,78.164
Bi,I,Sphere,PEG,Precipitation,,HeLa,Cervix,Epithelial,Adult,L,MTT,TetrazoliumSalt,,20000,24,96.21
Bi,I,Sphere,PEG,Precipitation,,HeLa,Cervix,Epithelial,Adult,L,MTT,TetrazoliumSalt,,20000,24,88.875
Bi,I,Sphere,PEG,Precipitation,,HeLa,Cervix,Epithelial,Adult,L,MTT,TetrazoliumSalt,,20000,24,72.983
Bi,I,Sphere,PEG,Precipitation,,MG-63,Bone,Fibroblast,Adult,L,MTT,TetrazoliumSalt,,20000,24,97.354
Bi,I,Sphere,PEG,Precipitation,,MG-63,Bone,Fibroblast,Adult,L,MTT,TetrazoliumSalt,,20000,24,92.063
Bi,I,Sphere,PEG,Precipitation,,MG-63,Bone,Fibroblast,Adult,L,MTT,TetrazoliumSalt,,20000,24,78.175
Bi,I,Sphere,None,Precipitation,,HeLa,Cervix,Epithelial,Adult,L,Live/Dead,CalceinAM,,20000,12,90.617
Bi,I,Sphere,None,Precipitation,,HeLa,Cervix,Epithelial,Adult,L,Live/Dead,CalceinAM,,20000,24,75.802
Bi,I,Sphere,None,Precipitation,,HeLa,Cervix,Epithelial,Adult,L,Live/Dead,CalceinAM,,20000,48,55.556
Bi,I,Sphere,None,Precipitation,,HeLa,Cervix,Epithelial,Adult,L,Live/Dead,CalceinAM,,20000,72,34.568
Bi,I,Sphere,None,Precipitation,,HeLa,Cervix,Epithelial,Adult,L,Live/Dead,CalceinAM,,20000,96,22.963
Bi,I,Sphere,None,Precipitation,,MG-63,Bone,Fibroblast,Adult,L,Live/Dead,CalceinAM,,20000,12,93.223
Bi,I,Sphere,None,Precipitation,,MG-63,Bone,Fibroblast,Adult,L,Live/Dead,CalceinAM,,20000,24,87.414
Bi,I,Sphere,None,Precipitation,,MG-63,Bone,Fibroblast,Adult,L,Live/Dead,CalceinAM,,20000,48,71.369
Bi,I,Sphere,None,Precipitation,,MG-63,Bone,Fibroblast,Adult,L,Live/Dead,CalceinAM,,20000,72,54.633
Bi,I,Sphere,None,Precipitation,,MG-63,Bone,Fibroblast,Adult,L,Live/Dead,CalceinAM,,20000,96,45.92
Bi,I,Sphere,NH2,Precipitation,,HeLa,Cervix,Epithelial,Adult,L,Live/Dead,CalceinAM,,20000,12,91.111
Bi,I,Sphere,NH2,Precipitation,,HeLa,Cervix,Epithelial,Adult,L,Live/Dead,CalceinAM,,20000,24,69.63
Bi,I,Sphere,NH2,Precipitation,,HeLa,Cervix,Epithelial,Adult,L,Live/Dead,CalceinAM,,20000,48,48.519
Bi,I,Sphere,NH2,Precipitation,,HeLa,Cervix,Epithelial,Adult,L,Live/Dead,CalceinAM,,20000,72,22.346
Bi,I,Sphere,NH2,Precipitation,,HeLa,Cervix,Epithelial,Adult,L,Live/Dead,CalceinAM,,20000,96,5.8025
Bi,I,Sphere,NH2,Precipitation,,MG-63,Bone,Fibroblast,Adult,L,Live/Dead,CalceinAM,,20000,12,92.531
Bi,I,Sphere,NH2,Precipitation,,MG-63,Bone,Fibroblast,Adult,L,Live/Dead,CalceinAM,,20000,24,82.434
Bi,I,Sphere,NH2,Precipitation,,MG-63,Bone,Fibroblast,Adult,L,Live/Dead,CalceinAM,,20000,48,69.848
Bi,I,Sphere,NH2,Precipitation,,MG-63,Bone,Fibroblast,Adult,L,Live/Dead,CalceinAM,,20000,72,58.091
Bi,I,Sphere,NH2,Precipitation,,MG-63,Bone,Fibroblast,Adult,L,Live/Dead,CalceinAM,,20000,96,34.44
Bi,I,Sphere,Silica,Precipitation,,HeLa,Cervix,Epithelial,Adult,L,Live/Dead,CalceinAM,,20000,12,92.593
Bi,I,Sphere,Silica,Precipitation,,HeLa,Cervix,Epithelial,Adult,L,Live/Dead,CalceinAM,,20000,24,83.951
Bi,I,Sphere,Silica,Precipitation,,HeLa,Cervix,Epithelial,Adult,L,Live/Dead,CalceinAM,,20000,48,59.259
Bi,I,Sphere,Silica,Precipitation,,HeLa,Cervix,Epithelial,Adult,L,Live/Dead,CalceinAM,,20000,72,46.914
Bi,I,Sphere,Silica,Precipitation,,HeLa,Cervix,Epithelial,Adult,L,Live/Dead,CalceinAM,,20000,96,32.593
Bi,I,Sphere,Silica,Precipitation,,MG-63,Bone,Fibroblast,Adult,L,Live/Dead,CalceinAM,,20000,12,94.053
Bi,I,Sphere,Silica,Precipitation,,MG-63,Bone,Fibroblast,Adult,L,Live/Dead,CalceinAM,,20000,24,93.776
Bi,I,Sphere,Silica,Precipitation,,MG-63,Bone,Fibroblast,Adult,L,Live/Dead,CalceinAM,,20000,48,77.04
Bi,I,Sphere,Silica,Precipitation,,MG-63,Bone,Fibroblast,Adult,L,Live/Dead,CalceinAM,,20000,72,63.209
Bi,I,Sphere,Silica,Precipitation,,MG-63,Bone,Fibroblast,Adult,L,Live/Dead,CalceinAM,,20000,96,56.708
Bi,I,Sphere,PEG,Precipitation,,HeLa,Cervix,Epithelial,Adult,L,Live/Dead,CalceinAM,,20000,12,90.617
Bi,I,Sphere,PEG,Precipitation,,HeLa,Cervix,Epithelial,Adult,L,Live/Dead,CalceinAM,,20000,24,85.185
